Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
AMERICAN BANKRUPTCY LAW JOURNAL,0027-9048,,NATL CONF BANKRUPT J,"235 SECRET COVE DR, LEXINGTON, USA, SC, 29072",English,Law
AMERICAN BUSINESS LAW JOURNAL,0002-7766,1744-1714,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,Business | Law
AMERICAN CRIMINAL LAW REVIEW,0164-0364,0164-0364,AMER CRIMINAL LAW REVIEW,"GEORGETOWN UNIV LAW CTR 600 NEW JERSEY AVE NW, WASHINGTON, USA, DC, 20001",English,Law
AMERICAN JOURNAL OF COMPARATIVE LAW,0002-919X,2326-9197,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",English,Law
AMERICAN JOURNAL OF INTERNATIONAL LAW,0002-9300,2161-7953,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,International Relations | Law
AMERICAN JOURNAL OF LAW & MEDICINE,0098-8588,2375-835X,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,Law
AMERICAN LAW AND ECONOMICS REVIEW,1465-7252,1465-7260,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",English,Economics | Law
ANNUAL REVIEW OF LAW AND SOCIAL SCIENCE,1550-3585,1550-3631,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",English,Law | Sociology
ANUARIO DE PSICOLOGIA JURIDICA,1133-0740,2174-0542,COLEGIO OFICIAL PSICOLOGOS MADRID,"C/CUESTA SAN VICENTE, NO 4, 6 PLANTA, MADRID, Spain, 28008",Spanish,"Law | Psychology, Multidisciplinary"
ARTIFICIAL INTELLIGENCE AND LAW,0924-8463,1572-8382,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,Law
ASIAN JOURNAL OF WTO & INTERNATIONAL HEALTH LAW AND POLICY,1819-5164,,NATL TAIWAN UNIV PRESS,"NO 1 SECTION 4, ROOSEVELT RD, TAIPEI, TAIWAN, 106",English,Health Policy & Services | International Relations | Law
ASIA PACIFIC LAW REVIEW,1019-2557,1875-8444,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,Law
BEHAVIORAL SCIENCES & THE LAW,0735-3936,1099-0798,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Applied | Law"
BOSTON UNIVERSITY LAW REVIEW,0006-8047,0006-8047,BOSTON UNIV LAW REVIEW,"765 COMMONWEALTH AVE, BOSTON, USA, MA, 02215",English,Law
BUFFALO LAW REVIEW,0023-9356,0023-9356,UNIV BUFFALO STATE UNIV NEW YORK,"SCHOOL LAW, 605 JOHN LORD O BRIAN HALL, NORTH CAMPUS, BUFFALO, USA, NY, 14260",English,Law
CALIFORNIA LAW REVIEW,0008-1221,1942-6542,"UNIV CALIFORNIA,  BERKELEY SCH LAW","BOAT HALL, 588 SIMON HALL, BERKELEY, USA, CA, 94720-7200",English,Law
CAMBRIDGE LAW JOURNAL,0008-1973,1469-2139,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,Law
CATHOLIC UNIVERSITY LAW REVIEW,0008-8390,0008-8390,CATHOLIC UNIV AMER PRESS,"620 MICHIGAN AVENUE NE ADMIN BLDG ROOM 303, WASHINGTON, USA, DC, 20064",English,Law
CHINESE JOURNAL OF INTERNATIONAL LAW,1540-1650,1746-9937,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,International Relations | Law
COLUMBIA JOURNAL OF LAW AND SOCIAL PROBLEMS,0010-1923,0010-1923,COLUMBIA JOURNAL TRANSNATIONAL LAW ASSOC,"COLUMBIA UNIV, SCHOOL LAW, 435 W 116TH ST, NEW YORK, USA, NY, 10027",English,Law | Social Issues
COLUMBIA JOURNAL OF TRANSNATIONAL LAW,0010-1931,2159-1814,COLUMBIA JOURNAL TRANSNATIONAL LAW ASSOC,"COLUMBIA UNIV, SCHOOL LAW, 435 W 116TH ST, NEW YORK, USA, NY, 10027",English,International Relations | Law
COLUMBIA LAW REVIEW,0010-1958,1945-2268,COLUMBIA JOURNAL TRANSNATIONAL LAW ASSOC,"COLUMBIA UNIV, SCHOOL LAW, 435 W 116TH ST, NEW YORK, USA, NY, 10027",English,Law
COMMON MARKET LAW REVIEW,0165-0750,1875-8320,KLUWER LAW INT,"ZUIDPOOLSINGEL 2, PO BOX 316, ALPHEN AAN DEN RIJN, NETHERLANDS, 2400 AH",English,International Relations | Law
COMPUTER LAW & SECURITY REVIEW,2212-473X,2212-4748,ELSEVIER ADVANCED TECHNOLOGY,"OXFORD FULFILLMENT CENTRE THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",English,Law
CORNELL INTERNATIONAL LAW JOURNAL,0010-8812,1930-7977,CORNELL INT LAW JOURNAL,"CORNELL LAW SCHOOL, ITHACA, USA, NY, 14850",English,International Relations | Law
CORNELL LAW REVIEW,0010-8847,0010-8847,CORNELL LAW REVIEW,"CORNELL LAW SCHOOL, ITHACA, USA, NY, 14853-4901",English,Law
CURRENT LEGAL PROBLEMS,0070-1998,2044-8422,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Law
DENVER LAW REVIEW,2469-6463,2469-6463,"UNIV DENVER, STURM COLLEGE LAW","2255 E EVANS AVENUE, DENVER, USA, CO, 80208",English,Law
DUKE LAW JOURNAL,0012-7086,1939-9111,DUKE UNIV,"SCHOOL LAW BOX 90364, DURHAM, USA, NC, 27708-0364",English,Law
ECOLOGY LAW QUARTERLY,0046-1121,0046-1121,"UNIV CALIFORNIA,  BERKELEY SCH LAW","BOAT HALL, 588 SIMON HALL, BERKELEY, USA, CA, 94720-7200",English,Environmental Studies | Law
EUROPEAN BUSINESS ORGANIZATION LAW REVIEW,1566-7529,1741-6205,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",English,Business | Law
EUROPEAN CONSTITUTIONAL LAW REVIEW,1574-0196,1744-5515,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,Law
EUROPEAN JOURNAL OF INTERNATIONAL LAW,0938-5428,1464-3596,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,International Relations | Law
EUROPEAN JOURNAL OF LAW AND ECONOMICS,0929-1261,1572-9990,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Economics | Law
EUROPEAN JOURNAL OF MIGRATION AND LAW,1388-364X,1571-8166,BRILL,"PLANTIJNSTRAAT 2, P O BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",English,Demography | Law
